Engine Speed (High Res)(rpm),Throttle Position(%),Manifold Absolute Pressure(kpa),Spark Advance(deg),MAF Airflow(g/s),Left Block Learn Trim,Right Block Learn Trim,Left Integrator Counts,Right Integrator Counts,Left+Right Block Learn Trim,Left+Right Integrator,Left Oxygen Sensor Volts(mv),Right Oxygen Sensor Volts(mv),Closed Loop Enable,Power Enrichment Active,Block Learn Mode Enable,Idle Air Controller Position,Idle Target RPM(rpm),Intake Air Temperature(c),Coolant Temperature(c),Knock Retard(deg),Knock Counts,Vehicle Speed(mph),ECM Input Voltage(v),Fan 1 Enabled,Fan 2 Enabled,Charcoal Canister Purge Enable,Air Pump Enabled,Air Conditioning Enabled,Block Learn Mode Cell,Left Injector Pulsewidth,Right Injector Pulsewidth,Barometric Pressure(kpa),Transmission Selected Gear,Shift Position PARK/NEUTRAL,TCC Enable,EGR Duty Cycle(%)
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,90.9,89.6,0,0,0,10.7,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,90.9,89.6,0,0,0,10.7,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,90.9,89.6,0,0,0,10.7,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,90.9,89.6,0,0,0,10.8,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,90.9,89.6,0,0,0,10.8,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,0,0,11.5,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,92.3,89.6,0,0,0,11.5,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,92.3,89.6,0,0,0,11.8,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,90.9,89.6,0,0,0,11.8,OFF,OFF,OFF,OFF,OFF,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,102.2,0,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,92.3,89.6,0,0,0,11.7,OFF,OFF,OFF,OFF,OFF,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,101.9,0,0.00,128,128,128,128,128,128,440,440,OFF,OFF,OFF,128,3188,90.9,89.6,0,0,0,11.1,OFF,OFF,OFF,OFF,OFF,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,101.9,0,0.00,128,128,128,128,128,128,440,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,1693,0,7.6,OFF,OFF,OFF,OFF,OFF,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,99.3,0,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,92.3,89.6,0,1841,0,9.3,OFF,OFF,OFF,OFF,OFF,0,0.00,0.00,102,3,ON,OFF,0.0
45,0.0,97.8,0,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,1841,0,8.3,OFF,OFF,OFF,OFF,OFF,0,0.00,0.00,102,3,ON,OFF,0.0
102,0.0,97.4,7,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,1841,0,8.9,OFF,OFF,OFF,OFF,ON,0,0.00,0.00,102,3,ON,OFF,0.0
111,0.0,97.1,7,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,1841,0,9.4,OFF,OFF,OFF,OFF,ON,0,25.36,0.00,102,3,ON,OFF,0.0
